"","seq","methyl_pos","methyl_n"
"20","EH_Chr1_1162729:1163956","1163229,1163233,1163237,1163240,1163242,1163249,1163251,1163262,1163268,1163271,1163275,1163280,1163294,1163300,1163304,1163325,1163336,1163339,1163351,1163354,1163367,1163370,1163400,1163408,1163456",25
"21","EH_Chr1_1236859:1238042","1237359,1237365,1237384,1237460,1237480,1237488,1237497,1237531,1237542",9
"22","EH_Chr1_1238427:1239570","1238927,1238931,1239009,1239026,1239029,1239040,1239063,1239070",8
"23","EH_Chr1_1243627:1244768","1244127,1244142,1244210,1244239,1244243,1244245,1244250,1244255,1244268",9
"24","EH_Chr1_1255163:1256394","1255663,1255705,1255730,1255735,1255742,1255758,1255770,1255776,1255783,1255792,1255798,1255801,1255803,1255809,1255812,1255815,1255818,1255832,1255848,1255894",20
"25","EH_Chr1_1273584:1274682","1274084,1274091,1274119,1274134,1274146,1274158,1274182",7
"26","EH_Chr1_1274784:1275848","1275284,1275289,1275341,1275348",4
"27","EH_Chr1_1342753:1343841","1343253,1343341",2
"28","EH_Chr1_1393335:1394485","1393835,1393911,1393921,1393926,1393935,1393950,1393955,1393960,1393970,1393975,1393980,1393985",12
"29","EH_Chr1_1420203:1421439","1420703,1420714,1420716,1420724,1420729,1420732,1420736,1420744,1420750,1420758,1420765,1420794,1420841,1420852,1420855,1420860,1420865,1420870,1420873,1420900,1420903,1420906,1420917,1420932,1420939",25
"30","EH_Chr1_1454890:1455982","1455390,1455411,1455415,1455427,1455433,1455436,1455460,1455472,1455482",9
"31","EH_Chr1_1487050:1488137","1487550,1487587,1487599,1487632,1487637",5
"32","EH_Chr1_1529657:1530882","1530157,1530160,1530165,1530167,1530177,1530182,1530186,1530197,1530201,1530204,1530218,1530224,1530230,1530233,1530238,1530246,1530261,1530263,1530275,1530278,1530281,1530284,1530287,1530293,1530297,1530302,1530305,1530309,1530312,1530339,1530370,1530377,1530382",33
"33","EH_Chr1_1559878:1560966","1560378,1560396,1560406,1560414,1560425,1560436,1560446,1560449,1560466",9
"34","EH_Chr1_1574015:1575087","1574515,1574538,1574546,1574587",4
"35","EH_Chr1_1576073:1577237","1576573,1576589,1576594,1576606,1576610,1576626,1576628,1576634,1576641,1576658,1576737",11
"36","EH_Chr1_1607406:1608555","1607906,1607929,1607968,1607983,1608015,1608055",6
"37","EH_Chr1_1616259:1617482","1616759,1616796,1616833,1616847,1616911,1616963,1616982",7
"38","EH_Chr1_1648045:1649292","1648545,1648556,1648567,1648569,1648590,1648607,1648616,1648618,1648633,1648636,1648655,1648666,1648673,1648683,1648688,1648703,1648706,1648722,1648763,1648769,1648774,1648781,1648792",23
"39","EH_Chr1_1931682:1932796","1932182,1932196,1932230,1932233,1932236,1932256,1932258,1932296",8
"40","EH_Chr1_2014535:2015535","2015035",1
"41","EH_Chr1_2063556:2064556","2064056",1
"42","EH_Chr1_2076213:2077315","2076713,2076716,2076723,2076761,2076777,2076815",6
"43","EH_Chr1_2090646:2091897","2091146,2091188,2091200,2091229,2091234,2091239,2091255,2091264,2091276,2091283,2091286,2091289,2091291,2091296,2091303,2091324,2091329,2091345,2091355,2091376,2091392,2091394,2091397",23
"44","EH_Chr1_2113320:2114474","2113820,2113876,2113917,2113974",4
"45","EH_Chr1_2234765:2236022","2235265,2235401,2235413,2235427,2235463,2235500,2235502,2235522",8
"46","EH_Chr1_2285403:2286458","2285903,2285913,2285926,2285936,2285947,2285958",6
"47","EH_Chr1_2301013:2302292","2301513,2301517,2301534,2301553,2301558,2301563,2301566,2301585,2301603,2301608,2301621,2301628,2301631,2301644,2301649,2301661,2301665,2301668,2301673,2301691,2301699,2301701,2301704,2301707,2301710,2301713,2301716,2301719,2301725,2301733,2301735,2301740,2301750,2301762,2301765,2301778,2301792",37
"48","EH_Chr1_2400978:2402042","2401478,2401535,2401542",3
"49","EH_Chr1_2466062:2467229","2466562,2466569,2466608,2466613,2466624,2466663,2466722,2466729",8
"50","EH_Chr1_2644956:2646095","2645456,2645465,2645472,2645478,2645486,2645491,2645494,2645497,2645499,2645504,2645517,2645523,2645530,2645533,2645535,2645539,2645545,2645547,2645550,2645553,2645556,2645560,2645563,2645572,2645585,2645588,2645591,2645595",28
"51","EH_Chr1_2679960:2681066","2680460,2680498,2680505,2680524,2680563,2680566",6
"52","EH_Chr1_2690176:2691375","2690676,2690720,2690743,2690755,2690758,2690761,2690766,2690786,2690800,2690820,2690825,2690832,2690837,2690841,2690862,2690875",16
"53","EH_Chr1_2712973:2714204","2713473,2713479,2713511,2713530,2713533,2713556,2713565,2713612,2713614,2713645,2713656,2713660,2713704",13
"54","EH_Chr1_2792885:2794096","2793385,2793398,2793400,2793411,2793423,2793425,2793430,2793433,2793439,2793442,2793455,2793458,2793464,2793467,2793476,2793507,2793529,2793548,2793556,2793571,2793581,2793584,2793587,2793592,2793596",25
"55","EH_Chr1_2795246:2797484","2795746,2795784,2795801,2795812,2795829,2795844,2795848,2795859,2795865,2795869,2795902,2796845,2796859,2796869,2796885,2796888,2796903,2796906,2796913,2796921,2796927,2796930,2796932,2796957,2796969,2796976,2796981,2796984",28
"56","EH_Chr1_2866304:2867493","2866804,2866923,2866986,2866993",4
"57","EH_Chr1_3228380:3229586","3228880,3228883,3228886,3228896,3228906,3228916,3228922,3228970,3228976,3228981,3229050,3229058,3229066,3229086",14
"58","EH_Chr1_3412881:3414051","3413381,3413411,3413461,3413471,3413478,3413495,3413523,3413551",8
"59","EH_Chr1_3517763:3518963","3518263,3518292,3518294,3518299,3518304,3518354,3518366,3518391,3518452,3518463",10
"60","EH_Chr1_3577708:3578843","3578208,3578266,3578280,3578292,3578295,3578310,3578313,3578317,3578325,3578328,3578334,3578343",12
"61","EH_Chr1_3582647:3583833","3583147,3583150,3583168,3583182,3583189,3583194,3583199,3583228,3583232,3583251,3583257,3583276,3583282,3583287,3583290,3583300,3583303,3583305,3583309,3583315,3583320,3583324,3583333",23
"62","EH_Chr1_3627221:3628221","3627721",1
"63","EH_Chr1_3671140:3672287","3671640,3671643,3671648,3671651,3671686,3671746,3671781,3671787",8
"64","EH_Chr1_3719441:3720584","3719941,3719945,3719954,3719973,3719981,3719993,3720011,3720015,3720023,3720029,3720031,3720036,3720039,3720051,3720065,3720084",16
"65","EH_Chr1_4127824:4129014","4128324,4128366,4128425,4128435,4128447,4128452,4128456,4128507,4128514",9
"66","EH_Chr1_4254139:4255246","4254639,4254645,4254661,4254668,4254679,4254692,4254704,4254718,4254725,4254735,4254740,4254746",12
"67","EH_Chr1_4288517:4289673","4289017,4289054,4289110,4289125,4289163,4289173",6
"68","EH_Chr1_4321146:4322146","4321646",1
"69","EH_Chr1_4356290:4357392","4356790,4356831,4356841,4356867,4356892",5
"70","EH_Chr1_4436281:4437360","4436781,4436860",2
"71","EH_Chr1_4437433:4438578","4437933,4437944,4437950,4437955,4437994,4438068,4438078",7
"72","EH_Chr1_4708603:4709840","4709103,4709113,4709118,4709123,4709126,4709235,4709251,4709287,4709294,4709340",10
"73","EH_Chr1_4774434:4775599","4774934,4774938,4774952,4774973,4774992,4775000,4775003,4775008,4775013,4775062,4775081,4775099",12
"74","EH_Chr1_4823766:4825675","4824266,4824294,4824343,4824413,4824453,4825025,4825043,4825046,4825049,4825051,4825069,4825094,4825167,4825175",14
"75","EH_Chr1_4836520:4837680","4837020,4837039,4837076,4837082,4837103,4837139,4837180",7
"76","EH_Chr1_4849619:4850784","4850119,4850150,4850174,4850188,4850215,4850234,4850245,4850251,4850284",9
"77","EH_Chr1_4854904:4856110","4855404,4855408,4855479,4855485,4855488,4855491,4855494,4855506,4855521,4855553,4855574,4855577,4855610",13
"78","EH_Chr1_4870491:4871632","4870991,4870994,4871004,4871014,4871018,4871028,4871031,4871034,4871037,4871047,4871061,4871066,4871078,4871084,4871099,4871112,4871117,4871132",18
"79","EH_Chr1_4938673:4939825","4939173,4939180,4939191,4939210,4939226,4939247,4939250,4939283,4939325",9
"80","EH_Chr1_5118471:5119614","5118971,5118980,5118992,5118997,5119015,5119034,5119040,5119072,5119114",9
"81","EH_Chr1_5259396:5260622","5259896,5259911,5259917,5259929,5259955,5259962,5259970,5260012,5260022,5260122",10
"82","EH_Chr1_5277025:5278095","5277525,5277595",2
"83","EH_Chr1_5350028:5351239","5350528,5350548,5350556,5350565,5350574,5350579,5350593,5350608,5350611,5350627,5350631,5350633,5350640,5350645,5350664,5350674,5350680,5350684,5350687,5350690,5350705,5350708,5350717,5350731,5350739",25
"84","EH_Chr1_5390973:5392147","5391473,5391493,5391530,5391533,5391563,5391575,5391603,5391606,5391647",9
"85","EH_Chr1_5415605:5416770","5416105,5416107,5416123,5416125,5416127,5416129,5416141,5416153,5416165,5416170,5416197,5416199,5416201,5416208,5416213,5416217,5416219,5416224,5416234,5416244,5416264,5416270",22
"86","EH_Chr1_5701165:5702362","5701665,5701736,5701763,5701784,5701804,5701835,5701851,5701862",8
"87","EH_Chr1_5787081:5788119","5787581,5787583,5787586,5787614,5787619",5
"88","EH_Chr1_5943291:5944475","5943791,5943804,5943822,5943826,5943840,5943844,5943910,5943949,5943967,5943975",10
"89","EH_Chr1_6096712:6097898","6097212,6097262,6097265,6097312,6097320,6097330,6097339,6097342,6097384,6097388,6097393,6097398",12
"90","EH_Chr1_6244626:6245700","6245126,6245196,6245200",3
"91","EH_Chr1_6254440:6255544","6254940,6254947,6254971,6254980,6254988,6254990,6254996,6255009,6255030,6255033,6255044",11
"92","EH_Chr1_6294802:6295956","6295302,6295310,6295325,6295335,6295339,6295346,6295355,6295385,6295402,6295410,6295435,6295456",12
"93","EH_Chr1_6309786:6310865","6310286,6310317,6310342,6310365",4
"94","EH_Chr1_6343807:6345009","6344307,6344326,6344341,6344347,6344353,6344433,6344437,6344446,6344500,6344509",10
"95","EH_Chr1_6364285:6365285","6364785",1
"96","EH_Chr1_6420160:6421367","6420660,6420669,6420672,6420679,6420713,6420759,6420769,6420773,6420792,6420797,6420827,6420840,6420843,6420852,6420867",15
"97","EH_Chr1_6424162:6425437","6424662,6424674,6424695,6424706,6424765,6424769,6424771,6424773,6424776,6424784,6424794,6424796,6424800,6424802,6424824,6424827,6424842,6424851,6424857,6424874,6424877,6424881,6424896,6424937",24
"98","EH_Chr1_6484563:6485848","6485063,6485078,6485101,6485177,6485185,6485229,6485255,6485258,6485306,6485332,6485340,6485348",12
"99","EH_Chr1_6487999:6489137","6488499,6488511,6488527,6488529,6488561,6488576,6488588,6488615,6488628,6488637",10
"100","EH_Chr1_6579787:6580827","6580287,6580290,6580293,6580327",4
"101","EH_Chr1_6618361:6619391","6618861,6618874,6618891",3
"102","EH_Chr1_6706687:6707879","6707187,6707196,6707201,6707216,6707231,6707234,6707240,6707249,6707252,6707255,6707259,6707264,6707282,6707286,6707289,6707327,6707333,6707349,6707354,6707360,6707367,6707370,6707373,6707376,6707379",25
"103","EH_Chr1_6736030:6737146","6736530,6736577,6736580,6736599,6736617,6736621,6736625,6736646",8
"104","EH_Chr1_6952654:6953754","6953154,6953171,6953184,6953197,6953233,6953254",6
"105","EH_Chr1_7009543:7010675","7010043,7010071,7010084,7010111,7010114,7010116,7010175",7
"106","EH_Chr1_7136074:7137101","7136574,7136601",2
"107","EH_Chr1_7236614:7237701","7237114,7237118,7237129,7237143,7237198,7237201",6
"108","EH_Chr1_7275145:7276275","7275645,7275686,7275702,7275710,7275719,7275730,7275775",7
"109","EH_Chr1_7294973:7296191","7295473,7295479,7295483,7295499,7295501,7295537,7295546,7295567,7295574,7295576,7295591,7295593,7295599,7295602,7295606,7295616,7295620,7295654,7295659,7295677,7295680,7295683,7295691",23
"110","EH_Chr1_7362124:7363736","7362624,7362627,7362630,7362633,7362639,7362651,7362660,7362672,7362706,7362710,7362722,7362724,7362742,7362749,7362751,7362754,7362771,7362779,7362781,7362784,7362806,7362809,7362811,7362819,7363052,7363057,7363096,7363119,7363135,7363151,7363172,7363176,7363181,7363186,7363191,7363195,7363204,7363216,7363226,7363231,7363233,7363236",42
"111","EH_Chr1_7425794:7426831","7426294,7426311,7426329,7426331",4
"112","EH_Chr1_7500936:7502150","7501436,7501446,7501463,7501512,7501566,7501573,7501585,7501596,7501602,7501618,7501637,7501650",12
"113","EH_Chr1_7571897:7572961","7572397,7572401,7572408,7572411,7572417,7572438,7572461",7
"114","EH_Chr1_7600584:7601852","7601084,7601194,7601208,7601232,7601282,7601284,7601296,7601308,7601322,7601326,7601352",11
"115","EH_Chr1_7912523:7913633","7913023,7913068,7913115,7913127,7913133",5
"116","EH_Chr1_8033351:8034556","8033851,8033919,8033931,8033935,8034020,8034056",6
"117","EH_Chr1_8045706:8046978","8046206,8046322,8046336,8046366,8046368,8046380,8046384,8046386,8046402,8046478",10
"118","EH_Chr1_8092423:8093602","8092923,8092939,8092952,8092995,8093102",5
"119","EH_Chr1_8107688:8108830","8108188,8108233,8108240,8108248,8108261,8108273,8108281,8108289,8108293,8108295,8108300,8108318,8108330",13
"120","EH_Chr1_8132859:8134119","8133359,8133429,8133437,8133470,8133504,8133510,8133517,8133544,8133553,8133591,8133619",11
"121","EH_Chr1_8165942:8167063","8166442,8166449,8166454,8166462,8166494,8166497,8166501,8166504,8166537,8166540,8166550,8166552,8166556,8166563",14
"122","EH_Chr1_8258713:8259920","8259213,8259234,8259259,8259296,8259316,8259332,8259335,8259397,8259420",9
"123","EH_Chr1_8265440:8266440","8265940",1
"124","EH_Chr1_8501617:8502639","8502117,8502127,8502131,8502139",4
"125","EH_Chr1_8561414:8562455","8561914,8561934,8561952,8561955",4
"126","EH_Chr1_8577209:8578342","8577709,8577764,8577769,8577782,8577784,8577808,8577824,8577828,8577837,8577842",10
"127","EH_Chr1_8634523:8635553","8635023,8635028,8635053",3
"128","EH_Chr1_8717498:8718708","8717998,8718020,8718027,8718185,8718202,8718208",6
"129","EH_Chr1_8790985:8792188","8791485,8791546,8791562,8791568,8791584,8791593,8791639,8791642,8791661,8791669,8791677,8791679,8791688",13
"130","EH_Chr1_9151914:9153096","9152414,9152427,9152441,9152520,9152525,9152528,9152537,9152540,9152596",9
"131","EH_Chr1_9180333:9181379","9180833,9180859,9180879",3
"132","EH_Chr1_9244949:9246188","9245449,9245465,9245510,9245538,9245591,9245603,9245651,9245670,9245672,9245675,9245688",11
"133","EH_Chr1_9304711:9305818","9305211,9305261,9305266,9305278,9305282,9305286,9305288,9305291,9305313,9305318",10
"134","EH_Chr1_9436520:9437620","9437020,9437027,9437053,9437082,9437089,9437120",6
"135","EH_Chr1_9556858:9558100","9557358,9557368,9557376,9557386,9557391,9557396,9557402,9557408,9557424,9557428,9557441,9557443,9557449,9557452,9557468,9557488,9557491,9557497,9557504,9557507,9557511,9557514,9557530,9557533,9557537,9557554,9557560,9557566,9557572,9557578,9557584,9557589,9557596,9557600",34
"136","EH_Chr1_9637841:9638977","9638341,9638353,9638355,9638360,9638391,9638426,9638477",7
"137","EH_Chr1_9691585:9692728","9692085,9692108,9692138,9692165,9692169,9692173,9692206,9692214,9692228",9
"138","EH_Chr1_9693958:9695041","9694458,9694468,9694481,9694500,9694526,9694537,9694541",7
"139","EH_Chr1_9719146:9720370","9719646,9719696,9719709,9719711,9719734,9719750,9719757,9719764,9719769,9719776,9719781,9719796,9719840,9719843,9719848,9719870",16
"140","EH_Chr1_9788169:9789417","9788669,9788672,9788676,9788681,9788692,9788702,9788706,9788711,9788715,9788723,9788736,9788741,9788745,9788750,9788763,9788769,9788771,9788775,9788780,9788783,9788787,9788795,9788803,9788805,9788817,9788820,9788840,9788846,9788849,9788851,9788859,9788862,9788868,9788886,9788889,9788898,9788905,9788913,9788917",39
"141","EH_Chr1_9803597:9804737","9804097,9804139,9804152,9804161,9804173,9804176,9804188,9804193,9804196,9804203,9804212,9804217,9804223,9804227,9804230,9804234,9804237",17
"142","EH_Chr1_10061736:10062945","10062236,10062240,10062286,10062297,10062320,10062360,10062384,10062411,10062422,10062445",10
"143","EH_Chr1_10237100:10238257","10237600,10237609,10237623,10237675,10237683,10237728,10237736,10237757",8
"144","EH_Chr1_10482970:10484145","10483470,10483492,10483510,10483515,10483530,10483546,10483585,10483590,10483594,10483597,10483604,10483609,10483612,10483621,10483633,10483639,10483645",17
"145","EH_Chr1_10489066:10490066","10489566",1
"146","EH_Chr1_10521131:10522304","10521631,10521651,10521655,10521660,10521708,10521716,10521721,10521773,10521804",9
"147","EH_Chr1_10708020:10709183","10708520,10708558,10708581,10708602,10708638,10708652,10708665,10708668,10708680,10708683",10
"148","EH_Chr1_10884539:10885696","10885039,10885080,10885105,10885145,10885153,10885167,10885196",7
"149","EH_Chr1_10920209:10921334","10920709,10920714,10920755,10920765,10920834",5
"150","EH_Chr1_11102575:11103719","11103075,11103088,11103138,11103142,11103154,11103163,11103205,11103219",8
"151","EH_Chr1_11125849:11127089","11126349,11126361,11126371,11126379,11126391,11126421,11126447,11126456,11126466,11126487,11126511,11126516,11126520,11126529,11126533,11126543,11126554,11126565,11126568,11126574,11126577,11126582,11126586,11126589",24
"152","EH_Chr1_11144020:11145020","11144520",1
"153","EH_Chr1_11183881:11185127","11184381,11184437,11184445,11184576,11184578,11184600,11184619,11184627",8
"154","EH_Chr1_11192194:11193349","11192694,11192719,11192734,11192786,11192798,11192837,11192849",7
"155","EH_Chr1_11206438:11207633","11206938,11206986,11207006,11207044,11207054,11207067,11207073,11207091,11207106,11207123,11207128,11207133",12
"156","EH_Chr1_11209096:11210350","11209596,11209613,11209619,11209632,11209634,11209655,11209664,11209673,11209678,11209680,11209686,11209707,11209742,11209757,11209762,11209766,11209769,11209783,11209790,11209800,11209803,11209816,11209831,11209842,11209850",25
"157","EH_Chr1_11302828:11303880","11303328,11303357,11303380",3
"158","EH_Chr1_11440130:11441136","11440630,11440636",2
"159","EH_Chr1_11453033:11454063","11453533,11453538,11453543,11453548,11453555,11453558,11453563",7
"160","EH_Chr1_11482731:11483844","11483231,11483243,11483302,11483311,11483344",5
"161","EH_Chr1_11499456:11500512","11499956,11499965,11500012",3
"162","EH_Chr1_11725635:11726857","11726135,11726275,11726357",3
"163","EH_Chr1_11849740:11850960","11850240,11850251,11850268,11850316,11850330,11850342,11850373,11850387,11850402,11850436,11850460",11
"164","EH_Chr1_11924473:11925624","11924973,11925000,11925031,11925033,11925057,11925059,11925066,11925084,11925086,11925121,11925124",11
"165","EH_Chr1_11958904:11960039","11959404,11959408,11959428,11959432,11959436,11959456,11959460,11959475,11959479,11959485,11959528,11959539",12
"166","EH_Chr1_12383443:12384515","12383943,12383963,12384002,12384015",4
"167","EH_Chr1_12415624:12416714","12416124,12416135,12416138,12416145,12416159,12416167,12416170,12416173,12416184,12416212,12416214",11
"168","EH_Chr1_12431311:12432484","12431811,12431817,12431852,12431870,12431900,12431903,12431907,12431945,12431972,12431984",10
"169","EH_Chr1_12495142:12496262","12495642,12495670,12495678,12495721,12495724,12495748,12495751,12495753,12495762",9
"170","EH_Chr1_12603283:12604488","12603783,12603790,12603795,12603797,12603800,12603809,12603813,12603822,12603829,12603838,12603854,12603878,12603891,12603904,12603909,12603935,12603942,12603944,12603952,12603960,12603988",21
"171","EH_Chr1_12736633:12737841","12737133,12737144,12737147,12737176,12737232,12737248,12737251,12737287,12737311,12737317,12737323,12737329,12737341",13
"172","EH_Chr1_12783356:12784517","12783856,12783865,12783873,12783891,12783897,12783901,12783907,12783913,12783920,12783933,12783936,12783953,12783961,12783984,12783988,12783993,12784004,12784014,12784017",19
"173","EH_Chr1_12899050:12900195","12899550,12899641,12899666,12899695",4
"174","EH_Chr1_13036156:13037345","13036656,13036661,13036693,13036698,13036738,13036752,13036776,13036780,13036783,13036811,13036815,13036828,13036835,13036845",14
"175","EH_Chr1_13055484:13056596","13055984,13056007,13056044,13056074,13056096",5
"176","EH_Chr1_13157929:13159099","13158429,13158438,13158471,13158494,13158496,13158499,13158505,13158521,13158545,13158573,13158599",11
"177","EH_Chr1_13159856:13161053","13160356,13160375,13160381,13160392,13160413,13160496,13160503,13160516,13160527,13160553",10
"178","EH_Chr1_13270576:13271785","13271076,13271086,13271128,13271143,13271212,13271215,13271220,13271242,13271264,13271285",10
"179","EH_Chr1_13283413:13284591","13283913,13283952,13284005,13284011,13284026,13284041,13284068,13284076,13284091",9
"180","EH_Chr1_13308038:13309267","13308538,13308541,13308596,13308625,13308645,13308664,13308746,13308767",8
"181","EH_Chr1_13318075:13319376","13318575,13318637,13318645,13318665,13318703,13318721,13318769,13318771,13318813,13318845,13318876",11
"182","EH_Chr1_13341110:13342262","13341610,13341621,13341627,13341672,13341690,13341700,13341702,13341704,13341706,13341762",10
"183","EH_Chr1_13926672:13927839","13927172,13927191,13927196,13927217,13927257,13927266,13927281,13927291,13927339",9
"184","EH_Chr1_14065633:14066633","14066133",1
"185","EH_Chr1_14222687:14223687","14223187",1
"186","EH_Chr1_14316350:14317448","14316850,14316856,14316886,14316890,14316926,14316930,14316948",7
"187","EH_Chr1_14647008:14648205","14647508,14647556,14647604,14647606,14647649,14647661,14647669,14647671,14647705",9
"188","EH_Chr1_14653861:14655056","14654361,14654373,14654386,14654401,14654404,14654412,14654420,14654429,14654433,14654439,14654464,14654503,14654512,14654536,14654556",15
"189","EH_Chr1_14695294:14696453","14695794,14695811,14695822,14695847,14695856,14695867,14695875,14695902,14695905,14695934,14695953",11
"190","EH_Chr1_14743641:14744641","14744141",1
"191","EH_Chr1_14759595:14760721","14760095,14760106,14760122,14760134,14760137,14760143,14760158,14760160,14760179,14760182,14760200,14760221",12
"192","EH_Chr1_14806286:14807461","14806786,14806792,14806816,14806837,14806840,14806843,14806870,14806873,14806876,14806898,14806907,14806912,14806919,14806928,14806936,14806951,14806958,14806961",18
"193","EH_Chr1_14957185:14958263","14957685,14957689,14957705,14957713,14957731,14957752,14957763",7
"194","EH_Chr1_15191979:15193049","15192479,15192483,15192487,15192511,15192549",5
"195","EH_Chr1_15316660:15317734","15317160,15317234",2
"196","EH_Chr1_15367343:15368405","15367843,15367872,15367905",3
"197","EH_Chr1_15426539:15427650","15427039,15427118,15427150",3
"198","EH_Chr1_15433821:15434978","15434321,15434409,15434420,15434463,15434478",5
"199","EH_Chr1_15586110:15587256","15586610,15586627,15586632,15586680,15586682,15586685,15586706,15586720,15586742,15586756",10
"200","EH_Chr1_15600383:15601476","15600883,15600925,15600976",3
"201","EH_Chr1_15612515:15613650","15613015,15613027,15613059,15613085,15613087,15613093,15613118,15613121,15613131,15613150",10
"202","EH_Chr1_15804835:15805960","15805335,15805345,15805348,15805357,15805366,15805460",6
"203","EH_Chr1_16002631:16003728","16003131,16003169,16003190,16003228",4
"204","EH_Chr1_16189728:16190977","16190228,16190237,16190255,16190258,16190261,16190275,16190313,16190326,16190334,16190337,16190340,16190355,16190361,16190364,16190367,16190387,16190389,16190398,16190403,16190406,16190416,16190457,16190462,16190477",24
"205","EH_Chr1_16234441:16235606","16234941,16234965,16234973,16234982,16235059,16235092,16235106",7
"206","EH_Chr1_16251335:16252458","16251835,16251838,16251853,16251881,16251949,16251958",6
"207","EH_Chr1_16285223:16286376","16285723,16285756,16285782,16285876",4
"208","EH_Chr1_16402147:16403147","16402647",1
"209","EH_Chr1_16473844:16475032","16474344,16474356,16474370,16474406,16474477,16474511,16474519,16474525,16474532",9
"210","EH_Chr1_16546272:16547433","16546772,16546851,16546901,16546913,16546933",5
"211","EH_Chr1_16550711:16551884","16551211,16551227,16551259,16551265,16551375,16551382,16551384",7
"212","EH_Chr1_16632326:16633448","16632826,16632832,16632846,16632893,16632930,16632948",6
"213","EH_Chr1_16894799:16895972","16895299,16895313,16895333,16895340,16895370,16895374,16895395,16895408,16895419,16895442,16895450,16895472",12
"214","EH_Chr1_17042723:17043784","17043223,17043256,17043259,17043269,17043275,17043280,17043284",7
"215","EH_Chr1_17101045:17102182","17101545,17101561,17101605,17101625,17101657,17101664,17101682",7
"216","EH_Chr1_17104592:17105653","17105092,17105125,17105128,17105138,17105144,17105149,17105153",7
"217","EH_Chr1_17137494:17138662","17137994,17137996,17138002,17138009,17138015,17138024,17138029,17138058,17138072,17138086,17138128,17138130,17138154,17138162",14
"218","EH_Chr1_17157647:17158647","17158147",1
"219","EH_Chr1_17339441:17340616","17339941,17340017,17340024,17340027,17340100,17340104,17340112,17340116",8
"220","EH_Chr1_17427002:17428113","17427502,17427583,17427613",3
"221","EH_Chr1_17438562:17439653","17439062,17439138,17439153",3
"222","EH_Chr1_17470411:17471525","17470911,17470932,17471007,17471009,17471025",5
"223","EH_Chr1_17571214:17572397","17571714,17571718,17571799,17571821,17571897",5
"224","EH_Chr1_17980706:17981807","17981206,17981258,17981261,17981283,17981295,17981302,17981307",7
"225","EH_Chr1_18043838:18044938","18044338,18044347,18044359,18044364,18044382,18044401,18044407,18044438",8
"226","EH_Chr1_18089351:18090503","18089851,18089886,18089899,18089904,18089910,18089960,18090003",7
"227","EH_Chr1_18094520:18095707","18095020,18095090,18095136,18095146,18095153,18095174,18095177,18095191,18095202,18095207",10
"228","EH_Chr1_18143038:18144186","18143538,18143541,18143549,18143554,18143579,18143583,18143668,18143686",8
"229","EH_Chr1_18305731:18306943","18306231,18306237,18306257,18306263,18306273,18306283,18306286,18306331,18306338,18306344,18306357,18306366,18306394,18306403,18306406,18306420,18306435,18306443",18
"230","EH_Chr1_18340421:18341672","18340921,18340973,18341164,18341172",4
"231","EH_Chr1_18378821:18379965","18379321,18379324,18379415,18379465",4
