"","seq","methyl_pos","methyl_n"
"63","AS_CauratusV1_scaffold_1132_20059:21250","20559,20636,20640,20646,20648,20657,20660,20678,20685,20699,20703,20718,20720,20744,20750",15
"64","AS_CauratusV1_scaffold_1134_21123:22260","21623,21627,21631,21747,21760",5
"65","AS_CauratusV1_scaffold_1134_4602:5622","5102,5106,5118,5122",4
"66","AS_CauratusV1_scaffold_1134_9506:10647","10006,10012,10080,10132,10147",5
"67","AS_CauratusV1_scaffold_1134_22228:23275","22728,22763,22765,22775",4
"68","AS_CauratusV1_scaffold_1138_1:1001","294,363,480",3
"69","AS_CauratusV1_scaffold_1138_24:1085","524,545,585",3
"70","AS_CauratusV1_scaffold_1140_3557:4695","4057,4081,4124,4192,4195",5
"71","AS_CauratusV1_scaffold_1140_3708:4884","4208,4257,4326,4337,4340,4351,4384",7
"72","AS_CauratusV1_scaffold_1144_16651:17793","17151,17155,17250,17255,17293",5
"73","AS_CauratusV1_scaffold_1144_16869:17983","17369,17375,17388,17403,17483",5
"74","AS_CauratusV1_scaffold_1148_10265:11416","10765,10867,10887,10912,10916",5
"75","AS_CauratusV1_scaffold_1150_22793:23868","23293,23316,23333,23339,23368",5
"76","AS_CauratusV1_scaffold_1150_24513:25565","25013,25028,25065",3
"77","AS_CauratusV1_scaffold_1156_4385:5430","4885,4896,4923,4930",4
"78","AS_CauratusV1_scaffold_1156_4521:5591","5021,5091",2
"79","AS_CauratusV1_scaffold_1174_22707:23766","23207,23209,23212,23231,23241,23259,23266",7
"80","AS_CauratusV1_scaffold_1178_165:1165","665",1
"81","AS_CauratusV1_scaffold_1178_7047:8143","7547,7549,7597,7612,7636,7643",6
"82","AS_CauratusV1_scaffold_1178_19398:20445","19898,19945",2
"83","AS_CauratusV1_scaffold_1178_313:1313","813",1
"84","AS_CauratusV1_scaffold_1178_7198:8363","7698,7762,7863",3
"85","AS_CauratusV1_scaffold_1179_12989:14105","13489,13536,13546,13593,13605",5
"86","AS_CauratusV1_scaffold_1179_13173:14327","13673,13752,13762,13794,13799,13801,13810,13815,13827",9
"87","AS_CauratusV1_scaffold_1181_13071:14217","13571,13595,13603,13613,13623,13636,13652,13655,13679,13681,13690,13694,13701,13717",14
"88","AS_CauratusV1_scaffold_1181_13267:14434","13767,13771,13775,13860,13886,13896,13929,13934",8
"89","AS_CauratusV1_scaffold_1182_40760:41881","41260,41276,41301,41313,41326,41368,41381",7
"90","AS_CauratusV1_scaffold_1183_6443:7577","6943,6954,7034,7077",4
"91","AS_CauratusV1_scaffold_1183_10624:11695","11124,11195",2
"92","AS_CauratusV1_scaffold_1184_4623:5740","5123,5135,5163,5225,5240",5
"93","AS_CauratusV1_scaffold_1187_13523:14683","14023,14066,14070,14113,14183",5
"94","AS_CauratusV1_scaffold_1197_7265:8265","7765",1
"95","AS_CauratusV1_scaffold_1208_1913:3039","2413,2424,2434,2443,2448,2469,2489,2518,2523,2531,2539",11
"96","AS_CauratusV1_scaffold_1208_13346:14499","13846,13876,13897,13903,13918,13921,13927,13951,13995,13999",10
"97","AS_CauratusV1_scaffold_1208_19638:20783","20138,20163,20242,20247,20258,20276,20283",7
"98","AS_CauratusV1_scaffold_1208_2055:3211","2555,2565,2581,2587,2596,2609,2617,2621,2624,2678,2692,2711",12
"99","AS_CauratusV1_scaffold_1208_7216:8355","7716,7724,7739,7775,7784,7798,7814,7817,7822,7824,7847,7855",12
"100","AS_CauratusV1_scaffold_1208_13578:14667","14078,14134,14144,14167",4
"101","AS_CauratusV1_scaffold_1208_19822:21007","20322,20325,20334,20343,20352,20367,20370,20380,20388,20401,20410,20428,20450,20501,20507",15
"102","AS_CauratusV1_scaffold_1213_4732:5797","5232,5297",2
"103","AS_CauratusV1_scaffold_1213_13211:14228","13711,13718,13724,13728",4
"104","AS_CauratusV1_scaffold_1213_4886:6025","5386,5440,5525",3
"105","AS_CauratusV1_scaffold_1223_5182:6369","5682,5721,5766,5785,5793,5826,5848,5869",8
"106","AS_CauratusV1_scaffold_1223_5399:6509","5899,5932,5990,5992,6009",5
"107","AS_CauratusV1_scaffold_1225_709:1804","1209,1264,1304",3
"108","AS_CauratusV1_scaffold_1225_854:1985","1354,1485",2
"109","AS_CauratusV1_scaffold_1227_17461:18571","17961,18016,18071",3
"110","AS_CauratusV1_scaffold_1234_13835:14912","14335,14382,14412",3
"111","AS_CauratusV1_scaffold_1234_14017:15218","14517,14647,14660,14697,14718",5
"112","AS_CauratusV1_scaffold_1242_21106:22234","21606,21611,21626,21645,21699,21706,21734",7
"113","AS_CauratusV1_scaffold_1242_13549:14595","14049,14060,14062,14095",4
"114","AS_CauratusV1_scaffold_1245_4418:5513","4918,5013",2
"115","AS_CauratusV1_scaffold_1248_1:1001","381",1
"116","AS_CauratusV1_scaffold_1248_91:1115","591,615",2
"117","AS_CauratusV1_scaffold_1248_3399:4637","3899,3992,3995,4043,4092,4137",6
"118","AS_CauratusV1_scaffold_1249_12348:13434","12848,12918,12934",3
"119","AS_CauratusV1_scaffold_1249_12548:13702","13048,13070,13077,13105,13113,13121,13133,13141,13147,13149,13165,13181,13189,13193,13202",15
"120","AS_CauratusV1_scaffold_1250_12009:13121","12509,12621",2
"121","AS_CauratusV1_scaffold_1250_12135:13257","12635,12680,12746,12757",4
"122","AS_CauratusV1_scaffold_1250_14741:15863","15241,15260,15265,15274,15300,15307,15317,15326,15353,15363",10
"123","AS_CauratusV1_scaffold_1253_1465:2465","1965",1
"124","AS_CauratusV1_scaffold_1255_16956:18032","17456,17495,17503,17532",4
"125","AS_CauratusV1_scaffold_1256_4077:5077","4577",1
"126","AS_CauratusV1_scaffold_1256_4136:5178","4636,4660,4678",3
"127","AS_CauratusV1_scaffold_1265_12703:13739","13203,13239",2
"128","AS_CauratusV1_scaffold_1265_12880:14024","13380,13397,13450,13478,13492,13524",6
"129","AS_CauratusV1_scaffold_1268_17717:18733","18217,18233",2
"130","AS_CauratusV1_scaffold_1268_17896:18937","18396,18420,18429,18437",4
"131","AS_CauratusV1_scaffold_1271_4:1084","504,584",2
"132","AS_CauratusV1_scaffold_1271_10518:11684","11018,11040,11044,11118,11129,11142,11184",7
"133","AS_CauratusV1_scaffold_1271_173:1258","673,680,758",3
"134","AS_CauratusV1_scaffold_1271_4102:5239","4602,4609,4656,4662,4676,4680,4695,4698,4724,4739",10
"135","AS_CauratusV1_scaffold_1271_10806:11881","11306,11317,11365,11381",4
"136","AS_CauratusV1_scaffold_1272_19921:20961","20421,20427,20458,20461",4
"137","AS_CauratusV1_scaffold_1272_20168:21168","20668",1
"138","AS_CauratusV1_scaffold_1276_3768:4795","4268,4295",2
"139","AS_CauratusV1_scaffold_1283_18443:19616","18943,18956,18960,18982,19002,19081,19085,19116",8
"140","AS_CauratusV1_scaffold_1284_10386:11589","10886,10911,10937,10948,10962,10972,10983,10992,11001,11052,11089",11
"141","AS_CauratusV1_scaffold_1284_10620:11734","11120,11171,11177,11189,11197,11210,11234",7
"142","AS_CauratusV1_scaffold_1291_15144:16295","15644,15654,15774,15784,15795",5
"143","AS_CauratusV1_scaffold_1299_5830:6902","6330,6359,6402",3
"144","AS_CauratusV1_scaffold_1299_637:1821","1137,1207,1225,1237,1310,1321",6
"145","AS_CauratusV1_scaffold_1299_6531:7753","7031,7065,7101,7119,7147,7174,7226,7231,7236,7248,7253",11
"146","AS_CauratusV1_scaffold_1308_1052:2086","1552,1586",2
"147","AS_CauratusV1_scaffold_1308_13886:15052","14386,14442,14458,14477,14552",5
"148","AS_CauratusV1_scaffold_1308_1413:2448","1913,1937,1948",3
"149","AS_CauratusV1_scaffold_1309_3009:4137","3509,3555,3557,3602,3622,3637",6
"150","AS_CauratusV1_scaffold_1309_3223:4296","3723,3742,3754,3759,3762,3764,3771,3796",8
"151","AS_CauratusV1_scaffold_1309_8917:9955","9417,9455",2
"152","AS_CauratusV1_scaffold_1324_32607:33763","33107,33122,33131,33138,33171,33189,33192,33209,33212,33231,33233,33237,33263",13
"153","AS_CauratusV1_scaffold_1325_14513:15611","15013,15111",2
"154","AS_CauratusV1_scaffold_1325_14659:15799","15159,15189,15249,15299",4
"155","AS_CauratusV1_scaffold_1338_2018:3020","2518,2520",2
"156","AS_CauratusV1_scaffold_1338_2174:3174","2674",1
"157","AS_CauratusV1_scaffold_1343_22457:23466","22957,22966",2
"158","AS_CauratusV1_scaffold_1343_22547:23547","23047",1
"159","AS_CauratusV1_scaffold_1346_13150:14249","13650,13659,13687,13719,13734,13749",6
"160","AS_CauratusV1_scaffold_1346_13302:14438","13802,13813,13832,13849,13863,13915,13938",7
"161","AS_CauratusV1_scaffold_1353_7133:8273","7633,7657,7740,7773",4
"162","AS_CauratusV1_scaffold_1353_7297:8466","7797,7809,7850,7853,7893,7900,7917,7927,7936,7940,7942,7945,7954,7966",14
"163","AS_CauratusV1_scaffold_1353_24687:25489","25187,25192,25197,25203,25267,25287",6
"164","AS_CauratusV1_scaffold_1369_7510:8587","8010,8087",2
"165","AS_CauratusV1_scaffold_1369_7800:8854","8300,8320,8323,8354",4
"166","AS_CauratusV1_scaffold_1379_3338:4338","3838",1
"167","AS_CauratusV1_scaffold_1379_6886:8035","7386,7425,7445,7461,7483,7492,7506,7535",8
"168","AS_CauratusV1_scaffold_1379_3468:4468","3968",1
"169","AS_CauratusV1_scaffold_1379_7065:8245","7565,7634,7651,7676,7720,7745",6
"170","AS_CauratusV1_scaffold_1381_12981:14126","13481,13492,13504,13579,13626",5
"171","AS_CauratusV1_scaffold_1385_16714:17714","17214",1
"172","AS_CauratusV1_scaffold_1385_16910:17910","17410",1
"173","AS_CauratusV1_scaffold_1389_6337:7494","6837,6901,6994",3
"174","AS_CauratusV1_scaffold_1389_19492:20657","19992,20012,20084,20144,20151,20157",6
"175","AS_CauratusV1_scaffold_1389_19721:20802","20221,20302",2
"176","AS_CauratusV1_scaffold_1398_642:1642","1142",1
"177","AS_CauratusV1_scaffold_1398_10117:11289","10617,10620,10662,10702,10706,10782,10789",7
"178","AS_CauratusV1_scaffold_1398_777:1777","1277",1
"179","AS_CauratusV1_scaffold_1402_7954:9061","8454,8479,8529,8561",4
"180","AS_CauratusV1_scaffold_1413_4892:6049","5392,5431,5450,5471,5482,5495,5529,5539,5549",9
"181","AS_CauratusV1_scaffold_1418_18034:19094","18534,18583,18594",3
"182","AS_CauratusV1_scaffold_1421_6970:8156","7470,7475,7497,7516,7528,7604,7618,7631,7656",9
"183","AS_CauratusV1_scaffold_1421_12775:13864","13275,13286,13335,13348,13364",5
"184","AS_CauratusV1_scaffold_1421_16402:17614","16902,16916,16966,16969,16974,16991,17001,17038,17114",9
"185","AS_CauratusV1_scaffold_1421_14195:15278","14695,14725,14735,14762,14778",5
"186","AS_CauratusV1_scaffold_1421_16634:17790","17134,17148,17151,17173,17178,17194,17204,17244,17290",9
"187","AS_CauratusV1_scaffold_1423_3481:4481","3981",1
"188","AS_CauratusV1_scaffold_1423_3709:4709","4209",1
"189","AS_CauratusV1_scaffold_1427_15811:16826","16311,16326",2
"190","AS_CauratusV1_scaffold_1427_15958:17076","16458,16576",2
"191","AS_CauratusV1_scaffold_1428_5855:7015","6355,6371,6417,6423,6441,6449,6453,6492,6515",9
"192","AS_CauratusV1_scaffold_1432_5800:6966","6300,6392,6412,6418,6425,6432,6455,6461,6466",9
"193","AS_CauratusV1_scaffold_1432_6040:7150","6540,6583,6603,6619,6647,6650",6
"194","AS_CauratusV1_scaffold_1434_8248:9248","8748",1
"195","AS_CauratusV1_scaffold_1434_8294:9413","8794,8806,8913",3
"196","AS_CauratusV1_scaffold_1435_10719:11900","11219,11221,11226,11280,11357,11362,11365,11400",8
"197","AS_CauratusV1_scaffold_1437_14631:15802","15131,15137,15168,15191,15248,15302",6
"198","AS_CauratusV1_scaffold_1437_14931:15981","15431,15441,15452,15461,15481",5
"199","AS_CauratusV1_scaffold_1438_168:1332","668,683,702,736,799,832",6
"200","AS_CauratusV1_scaffold_1439_11737:12737","12237",1
"201","AS_CauratusV1_scaffold_1439_12045:13955","12545,12590,12613,12661,12674,12740,13417,13427,13432,13455",10
"202","AS_CauratusV1_scaffold_1441_3792:4799","4292,4294,4299",3
"203","AS_CauratusV1_scaffold_1442_9114:10114","9614",1
"204","AS_CauratusV1_scaffold_1444_11574:12574","12074",1
"205","AS_CauratusV1_scaffold_1447_4671:5858","5171,5190,5208,5358",4
"206","AS_CauratusV1_scaffold_1450_17132:18292","17632,17778,17792",3
"207","AS_CauratusV1_scaffold_1455_13687:14869","14187,14201,14252,14255,14267,14273,14337,14344,14353,14359,14369",11
"208","AS_CauratusV1_scaffold_1463_2687:3687","3187",1
"209","AS_CauratusV1_scaffold_1463_4538:5614","5038,5043,5059,5067,5114",5
"210","AS_CauratusV1_scaffold_1463_6844:7999","7344,7362,7396,7430,7466,7478,7491,7494,7497,7499",10
"211","AS_CauratusV1_scaffold_1469_8187:9335","8687,8707,8776,8835",4
"212","AS_CauratusV1_scaffold_1476_4134:5220","4634,4649,4661,4665,4668,4720",6
"213","AS_CauratusV1_scaffold_1476_4336:5449","4836,4851,4877,4883,4905,4914,4916,4938,4949",9
"214","AS_CauratusV1_scaffold_1479_7088:8207","7588,7630,7707",3
"215","AS_CauratusV1_scaffold_1479_7312:8474","7812,7847,7869,7912,7923,7958,7966,7974",8
"216","AS_CauratusV1_scaffold_1480_1119:2122","1619,1622",2
"217","AS_CauratusV1_scaffold_1481_7627:8627","8127",1
"218","AS_CauratusV1_scaffold_1481_7814:8967","8314,8328,8332,8337,8456,8467",6
"219","AS_CauratusV1_scaffold_1483_4525:5525","5025",1
"220","AS_CauratusV1_scaffold_1483_4779:6005","5279,5282,5330,5435,5471,5480,5483,5505",8
"221","AS_CauratusV1_scaffold_1492_15940:17113","16440,16448,16461,16467,16470,16476,16479,16484,16488,16495,16506,16511,16517,16544,16551,16572,16580,16590,16613",19
"222","AS_CauratusV1_scaffold_1493_7531:8735","8031,8034,8040,8104,8131,8140,8174,8200,8206,8216,8233,8235",12
"223","AS_CauratusV1_scaffold_1495_8693:9855","9193,9206,9233,9265,9295,9310,9319,9323,9332,9334,9355",11
"224","AS_CauratusV1_scaffold_1495_8868:9998","9368,9395,9400,9405,9408,9432,9445,9452,9473,9475,9498",11
"225","AS_CauratusV1_scaffold_1499_5479:6555","5979,6000,6045,6055",4
"226","AS_CauratusV1_scaffold_1503_17667:18804","18167,18267,18304",3
"227","AS_CauratusV1_scaffold_1507_140:1297","640,672,797",3
"228","AS_CauratusV1_scaffold_1507_424:1424","924",1
"229","AS_CauratusV1_scaffold_1507_2173:3356","2673,2676,2678,2684,2688,2702,2712,2758,2768,2770,2775,2779,2786,2790,2795,2801,2823,2839,2853,2856",20
"230","AS_CauratusV1_scaffold_1507_4608:5786","5108,5158,5188,5191,5197,5219,5225,5231,5286",9
"231","AS_CauratusV1_scaffold_1510_1525:2667","2025,2167",2
"232","AS_CauratusV1_scaffold_1511_3291:4458","3791,3929,3958",3
"233","AS_CauratusV1_scaffold_1511_4165:5165","4665",1
"234","AS_CauratusV1_scaffold_1512_8194:9391","8694,8841,8891",3
"235","AS_CauratusV1_scaffold_1512_14071:15136","14571,14594,14627,14636",4
"236","AS_CauratusV1_scaffold_1512_14224:15269","14724,14769",2
"237","AS_CauratusV1_scaffold_1524_12569:13713","13069,13072,13077,13096,13108,13117,13130,13134,13157,13177,13213",11
"238","AS_CauratusV1_scaffold_1524_13954:14954","14454",1
"239","AS_CauratusV1_scaffold_1524_14344:15484","14844,14847,14874,14922,14925,14930,14948,14984",8
"240","AS_CauratusV1_scaffold_1525_7542:8718","8042,8121,8136,8140,8184,8214,8218",7
"241","AS_CauratusV1_scaffold_1527_7427:8482","7927,7969,7982",3
"242","AS_CauratusV1_scaffold_1527_4750:5911","5250,5283,5329,5411",4
"243","AS_CauratusV1_scaffold_1527_7632:8689","8132,8175,8189",3
"244","AS_CauratusV1_scaffold_1542_15673:16841","16173,16184,16193,16208,16213,16218,16222,16231,16236,16238,16268,16280,16319,16341",14
"245","AS_CauratusV1_scaffold_1545_10208:11208","10708",1
"246","AS_CauratusV1_scaffold_1545_10282:11348","10782,10848",2
"247","AS_CauratusV1_scaffold_1552_7738:8738","8238",1
"248","AS_CauratusV1_scaffold_1554_9351:10499","9851,9972,9979,9999",4
"249","AS_CauratusV1_scaffold_1559_4456:5631","4956,4996,5091,5096,5103,5131",6
"250","AS_CauratusV1_scaffold_1559_4707:5804","5207,5222,5247,5265,5304",5
"251","AS_CauratusV1_scaffold_1561_2582:3748","3082,3095,3110,3113,3115,3120,3131,3138,3146,3148,3154,3166,3171,3177,3188,3191,3194,3197,3200,3227,3232,3248",22
"252","AS_CauratusV1_scaffold_1561_2763:3763","3263",1
"253","AS_CauratusV1_scaffold_1567_20601:21688","21101,21107,21133,21145,21150,21188",6
"254","AS_CauratusV1_scaffold_1567_20795:21953","21295,21297,21311,21338,21453",5
"255","AS_CauratusV1_scaffold_1569_10148:11195","10648,10668,10673,10695",4
"256","AS_CauratusV1_scaffold_1570_7473:8575","7973,8075",2
"257","AS_CauratusV1_scaffold_1570_7741:8875","8241,8375",2
"258","AS_CauratusV1_scaffold_1571_10146:11198","10646,10682,10698",3
"259","AS_CauratusV1_scaffold_1571_10324:11324","10824",1
"260","AS_CauratusV1_scaffold_1575_10646:11738","11146,11171,11235,11238",4
"261","AS_CauratusV1_scaffold_1575_10808:11926","11308,11321,11393,11417,11421,11426",6
"262","AS_CauratusV1_scaffold_1600_14635:15635","15135",1
"263","AS_CauratusV1_scaffold_1600_14806:15876","15306,15376",2
"264","AS_CauratusV1_scaffold_1603_9061:10061","9561",1
"265","AS_CauratusV1_scaffold_1603_9305:10509","9805,9829,9833,10001,10009",5
"266","AS_CauratusV1_scaffold_1605_430:1574","930,974,1011,1038,1051,1074",6
"267","AS_CauratusV1_scaffold_1605_16587:17638","17087,17138",2
"268","AS_CauratusV1_scaffold_1611_7235:8256","7735,7756",2
"269","AS_CauratusV1_scaffold_1611_1:1001","459",1
"270","AS_CauratusV1_scaffold_1611_7373:8463","7873,7883,7963",3
"271","AS_CauratusV1_scaffold_1613_11308:12474","11808,11878,11880,11974",4
"272","AS_CauratusV1_scaffold_1614_815:1870","1315,1370",2
"273","AS_CauratusV1_scaffold_1614_1200:2213","1700,1703,1707,1713",4
"274","AS_CauratusV1_scaffold_1617_7375:8540","7875,7901,7965,8040",4
"275","AS_CauratusV1_scaffold_1650_12668:13880","13168,13179,13183,13198,13207,13232,13240,13243,13266,13279,13312,13324,13333,13342,13356,13366,13380",17
"276","AS_CauratusV1_scaffold_1654_3968:5045","4468,4478,4481,4487,4503,4545",6
"277","AS_CauratusV1_scaffold_1667_873:1886","1373,1379,1386",3
"278","AS_CauratusV1_scaffold_1667_1027:2108","1527,1542,1545,1550,1587,1593,1608",7
"279","AS_CauratusV1_scaffold_1669_6556:7612","7056,7112",2
"280","AS_CauratusV1_scaffold_1669_6631:7825","7131,7143,7154,7198,7236,7290,7312,7325",8
"281","AS_CauratusV1_scaffold_1671_9042:10170","9542,9564,9570,9580,9670",5
"282","AS_CauratusV1_scaffold_1683_2202:3270","2702,2733,2756,2770",4
"283","AS_CauratusV1_scaffold_1685_9155:10157","9655,9657",2
"284","AS_CauratusV1_scaffold_1691_15827:16672","16327,16389,16435,16459,16481",5
"285","AS_CauratusV1_scaffold_1696_10156:11213","10656,10664,10702,10713",4
"286","AS_CauratusV1_scaffold_1697_12768:13795","13268,13277,13295",3
"287","AS_CauratusV1_scaffold_1698_17506:18506","18006",1
"288","AS_CauratusV1_scaffold_1703_1:1001","329,350,355,379",4
"289","AS_CauratusV1_scaffold_1709_5130:6300","5630,5652,5699,5732,5776,5795,5800",7
"290","AS_CauratusV1_scaffold_1709_5322:6444","5822,5838,5912,5944",4
"291","AS_CauratusV1_scaffold_1713_1:1001","145,158,282,301",4
"292","AS_CauratusV1_scaffold_1713_1:1001","337,361,377,404,415,439,460,490,498",9
"293","AS_CauratusV1_scaffold_1714_11191:12197","11691,11697",2
"294","AS_CauratusV1_scaffold_1714_477:1480","977,980",2
"295","AS_CauratusV1_scaffold_1716_13308:14308","13808",1
"296","AS_CauratusV1_scaffold_1718_1178:2349","1678,1695,1702,1711,1720,1728,1751,1770,1773,1778,1849",11
"297","AS_CauratusV1_scaffold_1753_670:1707","1170,1174,1192,1203,1207",5
"298","AS_CauratusV1_scaffold_1756_5576:6657","6076,6135,6152,6157",4
"299","AS_CauratusV1_scaffold_1756_5707:6931","6207,6213,6284,6308,6322,6359,6388,6402,6431",9
"300","AS_CauratusV1_scaffold_1762_4586:5586","5086",1
"301","AS_CauratusV1_scaffold_1767_4568:5568","5068",1
"302","AS_CauratusV1_scaffold_1767_4705:5768","5205,5234,5259,5268",4
"303","AS_CauratusV1_scaffold_1797_1:1001","305,334,339,391,393",5
"304","AS_CauratusV1_scaffold_1804_12099:13213","12599,12646,12690,12713",4
"305","AS_CauratusV1_scaffold_1804_12260:13405","12760,12800,12809,12829,12905",5
"306","AS_CauratusV1_scaffold_1809_1613:2751","2113,2233,2251",3
"307","AS_CauratusV1_scaffold_1812_3605:4762","4105,4131,4262",3
"308","AS_CauratusV1_scaffold_1812_3890:4894","4390,4394",2
"309","AS_CauratusV1_scaffold_1813_7013:8025","7513,7517,7521,7525",4
"310","AS_CauratusV1_scaffold_1815_6241:7392","6741,6787,6802,6836,6892",5
"311","AS_CauratusV1_scaffold_1815_8523:9642","9023,9142",2
"312","AS_CauratusV1_scaffold_1818_1:1089","429,444,447,454,472,474,478,487,490,513,516,537,543,558,567,575,583,586,589",19
"313","AS_CauratusV1_scaffold_1819_5079:6200","5579,5671,5700",3
"314","AS_CauratusV1_scaffold_1825_4212:5304","4712,4715,4717,4725,4759,4801,4804",7
"315","AS_CauratusV1_scaffold_1841_13763:14412","14263,14342",2
"316","AS_CauratusV1_scaffold_1845_1278:2338","1778,1788,1801,1814,1838",5
"317","AS_CauratusV1_scaffold_1852_9900:11014","10400,10460,10471,10479,10514",5
"318","AS_CauratusV1_scaffold_1852_12119:13296","12619,12633,12654,12682,12684,12699,12702,12744,12752,12776,12779,12787,12796",13
"319","AS_CauratusV1_scaffold_1855_5354:6546","5854,5951,5959,6040,6046",5
"320","AS_CauratusV1_scaffold_1855_5652:6652","6152",1
"321","AS_CauratusV1_scaffold_1869_12938:13993","13438,13443,13484,13493",4
