"","Chr","seq_names","pos_rgenome","pos_seq","pos_align","width_align","chr_align","aligned","seq_number","SMR","species"
"23","AC_2","AC_2_21838376:21839480",21838930,-217,130359399,316,"NC_000010.11",FALSE,"seq_008","SMR_026","AC"
"24","AC_2","AC_2_21838376:21839480",21838959,-188,130359428,316,"NC_000010.11",FALSE,"seq_008","SMR_026","AC"
"25","AC_2","AC_2_21838376:21839480",21838963,-184,130359432,316,"NC_000010.11",FALSE,"seq_008","SMR_026","AC"
"26","AC_2","AC_2_21838376:21839480",21838971,-176,130359440,316,"NC_000010.11",FALSE,"seq_008","SMR_026","AC"
"27","AC_2","AC_2_21838376:21839480",21838973,-174,130359442,316,"NC_000010.11",FALSE,"seq_008","SMR_026","AC"
"28","AC_2","AC_2_21838376:21839480",21838980,-167,130359449,316,"NC_000010.11",FALSE,"seq_008","SMR_026","AC"
"29","AC_3","AC_3_24523874:24524918",24524374,20,130359838,385,"NC_000010.11",TRUE,"seq_009","SMR_026","AC"
"30","AC_3","AC_3_24523874:24524918",24524388,34,130359852,385,"NC_000010.11",TRUE,"seq_009","SMR_026","AC"
"33","AC_6","AC_6_4676655:4677655",4677155,383,130360762,218,"NC_000010.11",FALSE,"seq_010","SMR_026","AC"
"34","AC_9","AC_9_369901:371015",370401,-433,130358908,164,"NC_000010.11",FALSE,"seq_011","SMR_026","AC"
"35","AC_9","AC_9_369901:371015",370413,-421,130358920,164,"NC_000010.11",FALSE,"seq_011","SMR_026","AC"
"36","AC_9","AC_9_369901:371015",370419,-415,130358926,164,"NC_000010.11",FALSE,"seq_011","SMR_026","AC"
"37","AC_9","AC_9_369901:371015",370427,-407,130358934,164,"NC_000010.11",FALSE,"seq_011","SMR_026","AC"
"38","AC_9","AC_9_369901:371015",370488,-346,130358995,164,"NC_000010.11",FALSE,"seq_011","SMR_026","AC"
"39","AC_9","AC_9_369901:371015",370496,-338,130359003,164,"NC_000010.11",FALSE,"seq_011","SMR_026","AC"
"40","AC_9","AC_9_369901:371015",370500,-334,130359007,164,"NC_000010.11",FALSE,"seq_011","SMR_026","AC"
"41","AC_9","AC_9_369901:371015",370515,-319,130359022,164,"NC_000010.11",FALSE,"seq_011","SMR_026","AC"
"42","AC_1","AC_1_13971024:13972118",13971524,-377,38812211,98,"NC_000013.11",FALSE,"seq_012","SMR_030","AC"
"43","AC_1","AC_1_13971024:13972118",13971561,-340,38812248,98,"NC_000013.11",FALSE,"seq_012","SMR_030","AC"
"44","AC_1","AC_1_13971024:13972118",13971564,-337,38812251,98,"NC_000013.11",FALSE,"seq_012","SMR_030","AC"
"45","AC_1","AC_1_13971024:13972118",13971569,-332,38812256,98,"NC_000013.11",FALSE,"seq_012","SMR_030","AC"
"46","AC_1","AC_1_13971024:13972118",13971618,-283,38812305,98,"NC_000013.11",FALSE,"seq_012","SMR_030","AC"
"47","AC_23","AC_23_12477723:12478723",12478223,-1,38812964,101,"NC_000013.11",FALSE,"seq_013","SMR_030","AC"
"53","AC_1","AC_1_23135975:23137072",23136493,470,142937627,195,"NC_000008.11",FALSE,"seq_015","SMR_016","AC"
"54","AC_1","AC_1_23135975:23137072",23136496,473,142937630,195,"NC_000008.11",FALSE,"seq_015","SMR_016","AC"
"55","AC_1","AC_1_23135975:23137072",23136572,549,142937706,195,"NC_000008.11",FALSE,"seq_015","SMR_016","AC"
"57","AC_18","AC_18_1844193:1845278",1844697,493,142937653,348,"NC_000008.11",FALSE,"seq_016","SMR_016","AC"
"58","AC_18","AC_18_1844193:1845278",1844717,513,142937673,348,"NC_000008.11",FALSE,"seq_016","SMR_016","AC"
"60","AC_18","AC_18_1844193:1845278",1844728,524,142937684,348,"NC_000008.11",FALSE,"seq_016","SMR_016","AC"
"63","AC_18","AC_18_1844193:1845278",1844761,557,142937717,348,"NC_000008.11",FALSE,"seq_016","SMR_016","AC"
"66","AC_18","AC_18_1844193:1845278",1844773,569,142937729,348,"NC_000008.11",FALSE,"seq_016","SMR_016","AC"
"68","AC_18","AC_18_8934133:8935133",8934633,-363,142936097,110,"NC_000008.11",FALSE,"seq_017","SMR_016","AC"
"71","AC_4","AC_4_6052320:6053415",6052830,266,142937345,98,"NC_000008.11",FALSE,"seq_018","SMR_016","AC"
"72","AC_4","AC_4_6052320:6053415",6052859,295,142937374,98,"NC_000008.11",FALSE,"seq_018","SMR_016","AC"
"73","AC_4","AC_4_6052320:6053415",6052884,320,142937399,98,"NC_000008.11",FALSE,"seq_018","SMR_016","AC"
"74","AC_4","AC_4_6052320:6053415",6052890,326,142937405,98,"NC_000008.11",FALSE,"seq_018","SMR_016","AC"
"76","AC_4","AC_4_6052320:6053415",6052905,341,142937420,98,"NC_000008.11",FALSE,"seq_018","SMR_016","AC"
"77","AC_4","AC_4_6052320:6053415",6052915,351,142937430,98,"NC_000008.11",FALSE,"seq_018","SMR_016","AC"
"78","AC_6","AC_6_22108662:22109662",22109162,341,142937281,277,"NC_000008.11",FALSE,"seq_019","SMR_016","AC"
"80","AC_1","AC_1_30371898:30373019",30372426,497,11247088,191,"NC_000011.10",FALSE,"seq_020","SMR_028","AC"
"82","AC_1","AC_1_30371898:30373019",30372438,509,11247100,191,"NC_000011.10",FALSE,"seq_020","SMR_028","AC"
"83","AC_1","AC_1_30371898:30373019",30372466,537,11247128,191,"NC_000011.10",FALSE,"seq_020","SMR_028","AC"
"87","AC_1","AC_1_30371898:30373019",30372519,590,11247181,191,"NC_000011.10",FALSE,"seq_020","SMR_028","AC"
"88","AC_1","AC_1_17361340:17362427",17361840,-311,28559676,162,"NC_000007.14",FALSE,"seq_021","SMR_014","AC"
"89","AC_1","AC_1_17361340:17362427",17361901,-250,28559737,162,"NC_000007.14",FALSE,"seq_021","SMR_014","AC"
"90","AC_1","AC_1_17361340:17362427",17361910,-241,28559746,162,"NC_000007.14",FALSE,"seq_021","SMR_014","AC"
"91","AC_1","AC_1_17361340:17362427",17361914,-237,28559750,162,"NC_000007.14",FALSE,"seq_021","SMR_014","AC"
"92","AC_1","AC_1_17361340:17362427",17361927,-224,28559763,162,"NC_000007.14",FALSE,"seq_021","SMR_014","AC"
"97","AC_19","AC_19_7420372:7421436",7420936,408,28561140,152,"NC_000007.14",FALSE,"seq_022","SMR_014","AC"
"101","AC_6","AC_6_2993676:2994730",2994197,204,28560771,66,"NC_000007.14",FALSE,"seq_023","SMR_014","AC"
"106","AC_6","AC_6_2993676:2994730",2994230,237,28560804,66,"NC_000007.14",FALSE,"seq_023","SMR_014","AC"
"107","AC_1","AC_1_22574107:22575192",22574607,498,29163,222,"NT_187573.1",FALSE,"seq_024","SMR_050","AC"
"108","AC_1","AC_1_22574107:22575192",22574611,502,29167,222,"NT_187573.1",FALSE,"seq_024","SMR_050","AC"
"109","AC_1","AC_1_22574107:22575192",22574626,517,29182,222,"NT_187573.1",FALSE,"seq_024","SMR_050","AC"
"110","AC_1","AC_1_22574107:22575192",22574650,541,29206,222,"NT_187573.1",FALSE,"seq_024","SMR_050","AC"
"111","AC_1","AC_1_22574107:22575192",22574652,543,29208,222,"NT_187573.1",FALSE,"seq_024","SMR_050","AC"
"112","AC_1","AC_1_22574107:22575192",22574692,583,29248,222,"NT_187573.1",FALSE,"seq_024","SMR_050","AC"
"114","AC_4","AC_4_27583561:27584675",27584061,77,28435,62,"NT_187573.1",FALSE,"seq_026","SMR_050","AC"
"116","AC_4","AC_4_27583561:27584675",27584079,95,28453,62,"NT_187573.1",FALSE,"seq_026","SMR_050","AC"
"117","AC_4","AC_4_27583561:27584675",27584084,100,28458,62,"NT_187573.1",FALSE,"seq_026","SMR_050","AC"
"120","AC_4","AC_4_27583561:27584675",27584103,119,28477,62,"NT_187573.1",FALSE,"seq_026","SMR_050","AC"
"121","AC_4","AC_4_27583561:27584675",27584109,125,28483,62,"NT_187573.1",FALSE,"seq_026","SMR_050","AC"
"123","AC_4","AC_4_27583561:27584675",27584129,145,28503,62,"NT_187573.1",FALSE,"seq_026","SMR_050","AC"
"124","AC_4","AC_4_27583561:27584675",27584133,149,28507,62,"NT_187573.1",FALSE,"seq_026","SMR_050","AC"
"129","AC_1","AC_1_22051597:22052690",22052121,-113,166954548,129,"NC_000006.12",FALSE,"seq_027","SMR_010","AC"
"131","AC_1","AC_1_22051597:22052690",22052148,-86,166954575,129,"NC_000006.12",FALSE,"seq_027","SMR_010","AC"
"134","AC_10","AC_10_21382491:21383531",21382991,-143,166954407,192,"NC_000006.12",FALSE,"seq_028","SMR_010","AC"
"136","AC_10","AC_10_21382491:21383531",21383031,-103,166954447,192,"NC_000006.12",FALSE,"seq_028","SMR_010","AC"
"138","AC_14","AC_14_2077687:2078791",2078195,-232,166954214,215,"NC_000006.12",FALSE,"seq_029","SMR_010","AC"
"139","AC_14","AC_14_2077687:2078791",2078202,-225,166954221,215,"NC_000006.12",FALSE,"seq_029","SMR_010","AC"
"140","AC_14","AC_14_2077687:2078791",2078205,-222,166954224,215,"NC_000006.12",FALSE,"seq_029","SMR_010","AC"
"142","AC_14","AC_14_2077687:2078791",2078232,-195,166954251,215,"NC_000006.12",FALSE,"seq_029","SMR_010","AC"
"146","AC_14","AC_14_2077687:2078791",2078256,-171,166954275,215,"NC_000006.12",FALSE,"seq_029","SMR_010","AC"
"148","AC_14","AC_14_2077687:2078791",2078264,-163,166954283,215,"NC_000006.12",FALSE,"seq_029","SMR_010","AC"
"150","AC_14","AC_14_2077687:2078791",2078281,-146,166954300,215,"NC_000006.12",FALSE,"seq_029","SMR_010","AC"
"151","AC_14","AC_14_2077687:2078791",2078291,-136,166954310,215,"NC_000006.12",FALSE,"seq_029","SMR_010","AC"
"152","AC_2","AC_2_9198674:9199674",9199174,494,166955712,200,"NC_000006.12",FALSE,"seq_030","SMR_010","AC"
"154","AC_21","AC_21_15148785:15149892",15149294,-179,166954357,171,"NC_000006.12",FALSE,"seq_031","SMR_010","AC"
"155","AC_21","AC_21_15148785:15149892",15149306,-167,166954369,171,"NC_000006.12",FALSE,"seq_031","SMR_010","AC"
"156","AC_21","AC_21_15148785:15149892",15149312,-161,166954375,171,"NC_000006.12",FALSE,"seq_031","SMR_010","AC"
"157","AC_21","AC_21_15148785:15149892",15149324,-149,166954387,171,"NC_000006.12",FALSE,"seq_031","SMR_010","AC"
"160","AC_21","AC_21_15148785:15149892",15149368,-105,166954431,171,"NC_000006.12",FALSE,"seq_031","SMR_010","AC"
"162","AC_3","AC_3_29327736:29328787",29328236,457,166955734,106,"NC_000006.12",FALSE,"seq_032","SMR_010","AC"
"166","AC_3","AC_3_29327736:29328787",29328266,487,166955764,106,"NC_000006.12",FALSE,"seq_032","SMR_010","AC"
"167","AC_3","AC_3_29327736:29328787",29328269,490,166955767,106,"NC_000006.12",FALSE,"seq_032","SMR_010","AC"
"168","AC_3","AC_3_29327736:29328787",29328271,492,166955769,106,"NC_000006.12",FALSE,"seq_032","SMR_010","AC"
"169","AC_3","AC_3_29327736:29328787",29328282,503,166955780,106,"NC_000006.12",FALSE,"seq_032","SMR_010","AC"
"170","AC_3","AC_3_29327736:29328787",29328287,508,166955785,106,"NC_000006.12",FALSE,"seq_032","SMR_010","AC"
"171","AC_4","AC_4_20861215:20862298",20861715,-129,166954551,86,"NC_000006.12",FALSE,"seq_033","SMR_010","AC"
"172","AC_4","AC_4_20861215:20862298",20861725,-119,166954561,86,"NC_000006.12",FALSE,"seq_033","SMR_010","AC"
"173","AC_4","AC_4_20861215:20862298",20861730,-114,166954566,86,"NC_000006.12",FALSE,"seq_033","SMR_010","AC"
"174","AC_4","AC_4_20861215:20862298",20861739,-105,166954575,86,"NC_000006.12",FALSE,"seq_033","SMR_010","AC"
"175","AC_4","AC_4_20861215:20862298",20861746,-98,166954582,86,"NC_000006.12",FALSE,"seq_033","SMR_010","AC"
"176","AC_4","AC_4_20861215:20862298",20861754,-90,166954590,86,"NC_000006.12",FALSE,"seq_033","SMR_010","AC"
"177","AC_4","AC_4_20861215:20862298",20861776,-68,166954612,86,"NC_000006.12",FALSE,"seq_033","SMR_010","AC"
"178","AC_4","AC_4_20861215:20862298",20861778,-66,166954614,86,"NC_000006.12",FALSE,"seq_033","SMR_010","AC"
"179","AC_4","AC_4_20861215:20862298",20861795,-49,166954631,86,"NC_000006.12",FALSE,"seq_033","SMR_010","AC"
"181","AC_4","AC_4_22286874:22287935",22287374,387,166955592,109,"NC_000006.12",FALSE,"seq_034","SMR_010","AC"
"182","AC_4","AC_4_22286874:22287935",22287387,400,166955605,109,"NC_000006.12",FALSE,"seq_034","SMR_010","AC"
"185","AC_6","AC_6_2951962:2953050",2952499,-226,166954332,74,"NC_000006.12",FALSE,"seq_035","SMR_010","AC"
"186","AC_6","AC_6_2951962:2953050",2952506,-219,166954339,74,"NC_000006.12",FALSE,"seq_035","SMR_010","AC"
"187","AC_6","AC_6_2951962:2953050",2952525,-200,166954358,74,"NC_000006.12",FALSE,"seq_035","SMR_010","AC"
"188","AC_6","AC_6_2951962:2953050",2952539,-186,166954372,74,"NC_000006.12",FALSE,"seq_035","SMR_010","AC"
"189","AC_6","AC_6_2951962:2953050",2952550,-175,166954383,74,"NC_000006.12",FALSE,"seq_035","SMR_010","AC"
"190","AC_7","AC_7_24204115:24205151",24204615,-155,166954450,128,"NC_000006.12",FALSE,"seq_036","SMR_010","AC"
"191","AC_7","AC_7_24204115:24205151",24204651,-119,166954486,128,"NC_000006.12",FALSE,"seq_036","SMR_010","AC"
"192","AC_9","AC_9_2062727:2063847",2063227,-439,166953798,175,"NC_000006.12",FALSE,"seq_037","SMR_010","AC"
"194","AC_9","AC_9_2062727:2063847",2063233,-433,166953804,175,"NC_000006.12",FALSE,"seq_037","SMR_010","AC"
"195","AC_9","AC_9_2062727:2063847",2063300,-366,166953871,175,"NC_000006.12",FALSE,"seq_037","SMR_010","AC"
"196","AC_9","AC_9_2062727:2063847",2063326,-340,166953897,175,"NC_000006.12",FALSE,"seq_037","SMR_010","AC"
"197","AC_9","AC_9_2062727:2063847",2063336,-330,166953907,175,"NC_000006.12",FALSE,"seq_037","SMR_010","AC"
"199","AC_9","AC_9_2062727:2063847",2063347,-319,166953918,175,"NC_000006.12",FALSE,"seq_037","SMR_010","AC"
"200","AC_10","AC_10_22461375:22462375",22461875,490,132181067,79,"NC_000010.11",FALSE,"seq_038","SMR_027","AC"
"201","AC_14","AC_14_21239375:21240394",21239875,-289,132179481,105,"NC_000010.11",FALSE,"seq_039","SMR_027","AC"
"204","AC_19","AC_19_9725320:9726399",9725820,239,132180608,119,"NC_000010.11",FALSE,"seq_040","SMR_027","AC"
"205","AC_19","AC_19_9725320:9726399",9725826,245,132180614,119,"NC_000010.11",FALSE,"seq_040","SMR_027","AC"
"206","AC_19","AC_19_9725320:9726399",9725868,287,132180656,119,"NC_000010.11",FALSE,"seq_040","SMR_027","AC"
"207","AC_19","AC_19_9725320:9726399",9725877,296,132180665,119,"NC_000010.11",FALSE,"seq_040","SMR_027","AC"
"208","AC_19","AC_19_9725320:9726399",9725879,298,132180667,119,"NC_000010.11",FALSE,"seq_040","SMR_027","AC"
"209","AC_19","AC_19_9725320:9726399",9725884,303,132180672,119,"NC_000010.11",FALSE,"seq_040","SMR_027","AC"
"210","AC_19","AC_19_9725320:9726399",9725892,311,132180680,119,"NC_000010.11",FALSE,"seq_040","SMR_027","AC"
"211","AC_19","AC_19_9725320:9726399",9725896,315,132180684,119,"NC_000010.11",FALSE,"seq_040","SMR_027","AC"
"212","AC_19","AC_19_9725320:9726399",9725899,318,132180687,119,"NC_000010.11",FALSE,"seq_040","SMR_027","AC"
"215","AC_8","AC_8_17186743:17187858",17187267,397,132180794,148,"NC_000010.11",FALSE,"seq_041","SMR_027","AC"
"216","AC_8","AC_8_17186743:17187858",17187322,452,132180849,148,"NC_000010.11",FALSE,"seq_041","SMR_027","AC"
"218","AC_8","AC_8_17186743:17187858",17187358,488,132180885,148,"NC_000010.11",FALSE,"seq_041","SMR_027","AC"
"219","AC_8","AC_8_3454931:3455931",3455431,-370,132179296,130,"NC_000010.11",FALSE,"seq_042","SMR_027","AC"
"220","AC_9","AC_9_15179215:15180329",15179715,153,132180357,123,"NC_000010.11",FALSE,"seq_043","SMR_027","AC"
"221","AC_9","AC_9_15179215:15180329",15179718,156,132180360,123,"NC_000010.11",FALSE,"seq_043","SMR_027","AC"
"222","AC_9","AC_9_15179215:15180329",15179724,162,132180366,123,"NC_000010.11",FALSE,"seq_043","SMR_027","AC"
"223","AC_9","AC_9_15179215:15180329",15179729,167,132180371,123,"NC_000010.11",FALSE,"seq_043","SMR_027","AC"
"224","AC_9","AC_9_15179215:15180329",15179742,180,132180384,123,"NC_000010.11",FALSE,"seq_043","SMR_027","AC"
"225","AC_9","AC_9_15179215:15180329",15179749,187,132180391,123,"NC_000010.11",FALSE,"seq_043","SMR_027","AC"
"226","AC_9","AC_9_15179215:15180329",15179752,190,132180394,123,"NC_000010.11",FALSE,"seq_043","SMR_027","AC"
"227","AC_9","AC_9_15179215:15180329",15179757,195,132180399,123,"NC_000010.11",FALSE,"seq_043","SMR_027","AC"
"228","AC_9","AC_9_15179215:15180329",15179772,210,132180414,123,"NC_000010.11",FALSE,"seq_043","SMR_027","AC"
"230","AC_9","AC_9_15179215:15180329",15179796,234,132180438,123,"NC_000010.11",FALSE,"seq_043","SMR_027","AC"
"231","AC_9","AC_9_15179215:15180329",15179815,253,132180457,123,"NC_000010.11",FALSE,"seq_043","SMR_027","AC"
"232","AC_9","AC_9_15179215:15180329",15179829,267,132180471,123,"NC_000010.11",FALSE,"seq_043","SMR_027","AC"
"241","AC_10","AC_10_21193346:21194389",21193860,-270,113929651,107,"NC_000006.12",FALSE,"seq_045","SMR_011","AC"
"243","AC_10","AC_10_22461568:22462587",22462068,300,132180705,101,"NC_000010.11",FALSE,"seq_046","SMR_024","AC"
"244","AC_10","AC_10_22461568:22462587",22462087,319,132180724,101,"NC_000010.11",FALSE,"seq_046","SMR_024","AC"
"249","AC_13","AC_13_13204881:13205954",13205454,199,132180349,153,"NC_000010.11",FALSE,"seq_047","SMR_024","AC"
"250","AC_14","AC_14_2077838:2078940",2078338,205,132180485,218,"NC_000010.11",TRUE,"seq_048","SMR_024","AC"
"251","AC_14","AC_14_2077838:2078940",2078344,211,132180491,218,"NC_000010.11",TRUE,"seq_048","SMR_024","AC"
"252","AC_14","AC_14_2077838:2078940",2078347,214,132180494,218,"NC_000010.11",TRUE,"seq_048","SMR_024","AC"
"253","AC_14","AC_14_2077838:2078940",2078351,218,132180498,218,"NC_000010.11",TRUE,"seq_048","SMR_024","AC"
"254","AC_14","AC_14_2077838:2078940",2078359,226,132180506,218,"NC_000010.11",FALSE,"seq_048","SMR_024","AC"
"255","AC_14","AC_14_2077838:2078940",2078362,229,132180509,218,"NC_000010.11",FALSE,"seq_048","SMR_024","AC"
"256","AC_14","AC_14_2077838:2078940",2078367,234,132180514,218,"NC_000010.11",FALSE,"seq_048","SMR_024","AC"
"257","AC_14","AC_14_2077838:2078940",2078370,237,132180517,218,"NC_000010.11",FALSE,"seq_048","SMR_024","AC"
"259","AC_14","AC_14_2077838:2078940",2078391,258,132180538,218,"NC_000010.11",FALSE,"seq_048","SMR_024","AC"
"260","AC_14","AC_14_2077838:2078940",2078393,260,132180540,218,"NC_000010.11",FALSE,"seq_048","SMR_024","AC"
"261","AC_14","AC_14_2077838:2078940",2078397,264,132180544,218,"NC_000010.11",FALSE,"seq_048","SMR_024","AC"
"262","AC_14","AC_14_2077838:2078940",2078416,283,132180563,218,"NC_000010.11",FALSE,"seq_048","SMR_024","AC"
"263","AC_14","AC_14_2077838:2078940",2078422,289,132180569,218,"NC_000010.11",FALSE,"seq_048","SMR_024","AC"
"267","AC_17","AC_17_6597508:6598601",6598008,-181,132179662,186,"NC_000010.11",FALSE,"seq_049","SMR_024","AC"
"273","AC_18","AC_18_3791783:3792888",3792301,482,132181005,121,"NC_000010.11",FALSE,"seq_050","SMR_024","AC"
"274","AC_18","AC_18_3791783:3792888",3792318,499,132181022,121,"NC_000010.11",FALSE,"seq_050","SMR_024","AC"
"275","AC_18","AC_18_3791783:3792888",3792323,504,132181027,121,"NC_000010.11",FALSE,"seq_050","SMR_024","AC"
"276","AC_18","AC_18_3791783:3792888",3792328,509,132181032,121,"NC_000010.11",FALSE,"seq_050","SMR_024","AC"
"277","AC_18","AC_18_3791783:3792888",3792374,555,132181078,121,"NC_000010.11",FALSE,"seq_050","SMR_024","AC"
"278","AC_18","AC_18_3791783:3792888",3792376,557,132181080,121,"NC_000010.11",FALSE,"seq_050","SMR_024","AC"
"279","AC_18","AC_18_3791783:3792888",3792388,569,132181092,121,"NC_000010.11",FALSE,"seq_050","SMR_024","AC"
"280","AC_2","AC_2_25946794:25947794",25947294,-141,132179747,134,"NC_000010.11",FALSE,"seq_051","SMR_024","AC"
"281","AC_23","AC_23_5046041:5047160",5046541,492,132181043,119,"NC_000010.11",FALSE,"seq_052","SMR_024","AC"
"283","AC_23","AC_23_5046041:5047160",5046553,504,132181055,119,"NC_000010.11",FALSE,"seq_052","SMR_024","AC"
"284","AC_23","AC_23_5046041:5047160",5046562,513,132181064,119,"NC_000010.11",FALSE,"seq_052","SMR_024","AC"
"285","AC_23","AC_23_5046041:5047160",5046564,515,132181066,119,"NC_000010.11",FALSE,"seq_052","SMR_024","AC"
"286","AC_23","AC_23_5046041:5047160",5046578,529,132181080,119,"NC_000010.11",FALSE,"seq_052","SMR_024","AC"
"288","AC_23","AC_23_5046041:5047160",5046583,534,132181085,119,"NC_000010.11",FALSE,"seq_052","SMR_024","AC"
"289","AC_23","AC_23_5046041:5047160",5046586,537,132181088,119,"NC_000010.11",FALSE,"seq_052","SMR_024","AC"
"291","AC_23","AC_23_5046041:5047160",5046597,548,132181099,119,"NC_000010.11",FALSE,"seq_052","SMR_024","AC"
"295","AC_23","AC_23_5046041:5047160",5046653,604,132181155,119,"NC_000010.11",FALSE,"seq_052","SMR_024","AC"
"300","AC_23","AC_23_19732948:19734039",19733488,-312,132179395,116,"NC_000010.11",FALSE,"seq_053","SMR_024","AC"
"301","AC_23","AC_23_19732948:19734039",19733490,-310,132179397,116,"NC_000010.11",FALSE,"seq_053","SMR_024","AC"
"302","AC_23","AC_23_19732948:19734039",19733499,-301,132179406,116,"NC_000010.11",FALSE,"seq_053","SMR_024","AC"
"305","AC_23","AC_23_19732948:19734039",19733519,-281,132179426,116,"NC_000010.11",FALSE,"seq_053","SMR_024","AC"
"306","AC_23","AC_23_19732948:19734039",19733530,-270,132179437,116,"NC_000010.11",FALSE,"seq_053","SMR_024","AC"
"307","AC_23","AC_23_19732948:19734039",19733539,-261,132179446,116,"NC_000010.11",FALSE,"seq_053","SMR_024","AC"
"309","AC_23","AC_23_20780933:20782053",20781437,-207,132179606,166,"NC_000010.11",FALSE,"seq_054","SMR_024","AC"
"310","AC_23","AC_23_20780933:20782053",20781449,-195,132179618,166,"NC_000010.11",FALSE,"seq_054","SMR_024","AC"
"311","AC_23","AC_23_20780933:20782053",20781453,-191,132179622,166,"NC_000010.11",FALSE,"seq_054","SMR_024","AC"
"312","AC_23","AC_23_20780933:20782053",20781459,-185,132179628,166,"NC_000010.11",FALSE,"seq_054","SMR_024","AC"
"314","AC_23","AC_23_20780933:20782053",20781502,-142,132179671,166,"NC_000010.11",FALSE,"seq_054","SMR_024","AC"
"315","AC_23","AC_23_20780933:20782053",20781508,-136,132179677,166,"NC_000010.11",FALSE,"seq_054","SMR_024","AC"
"316","AC_23","AC_23_20780933:20782053",20781514,-130,132179683,166,"NC_000010.11",FALSE,"seq_054","SMR_024","AC"
"318","AC_23","AC_23_20780933:20782053",20781521,-123,132179690,166,"NC_000010.11",FALSE,"seq_054","SMR_024","AC"
"319","AC_23","AC_23_20780933:20782053",20781553,-91,132179722,166,"NC_000010.11",FALSE,"seq_054","SMR_024","AC"
"320","AC_11","AC_11_16600395:16601470",16600895,-273,65610139,85,"NC_000014.9",FALSE,"seq_055","SMR_034","AC"
"330","AC_11","AC_11_26906812:26907929",26907429,617,128909139,806,"NC_000009.12",TRUE,"seq_056","SMR_022","AC"
"335","AC_11","AC_11_21443834:21444904",21444404,115,36824589,64,"NC_000003.12",FALSE,"seq_058","SMR_003","AC"
"336","AC_14","AC_14_10013359:10014431",10013859,59,36824547,56,"NC_000003.12",FALSE,"seq_059","SMR_003","AC"
"337","AC_14","AC_14_10013359:10014431",10013865,65,36824553,56,"NC_000003.12",FALSE,"seq_059","SMR_003","AC"
"338","AC_14","AC_14_10013359:10014431",10013887,87,36824575,56,"NC_000003.12",FALSE,"seq_059","SMR_003","AC"
"339","AC_14","AC_14_10013359:10014431",10013920,120,36824608,56,"NC_000003.12",FALSE,"seq_059","SMR_003","AC"
"340","AC_14","AC_14_10013359:10014431",10013931,131,36824619,56,"NC_000003.12",FALSE,"seq_059","SMR_003","AC"
"341","AC_15","AC_15_14039621:14040974",14040121,-248,36823933,62,"NC_000003.12",FALSE,"seq_060","SMR_003","AC"
"342","AC_15","AC_15_14039621:14040974",14040128,-241,36823940,62,"NC_000003.12",FALSE,"seq_060","SMR_003","AC"
"344","AC_15","AC_15_14039621:14040974",14040406,37,36824218,62,"NC_000003.12",TRUE,"seq_060","SMR_003","AC"
